trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN557120,ArjuN,Mehta,M,INFY,BSE,intraday,2024-04-01,2928,3513,1635,2809,516328,debit card
TRD0101919,TXN434730,snehA,das,female,RELIANCE,NSE,futures,04-02-2024,3963,4460,2755,2392,380187,credit card
TRD0101916,TXN749099,sUResH,MIsHrA,M,INFY,BSE,options,04-03-2024,2416,3619,2754,2346,958146,upi
TRD0101912,TXN916532,amiT,GUPTa,M,LT,BSE,options,2024/04/04,3551,1198,769,4937,676256,upi
TRD0101918,TXN602616,ViKRaM,NAIDU,male,INFY,BSE,intraday,04-2024-05,532,4292,4256,3714,866839,upi
TRD0101913,TXN146860,pOOjA,Singh,F,SBIN,NSE,options,04-06-2024,3970,3397,4698,4625,412222,credit card
TRD0101922,TXN561214,DEEpak,tiwArI,male,TCS,NSE,delivery,04-2024-07,1217,1595,3938,2632,644613,debit card
TRD0101910,TXN918180,rAhUL,sHARmA,male,ONGC,NSE,intraday,31-04-2024,4458,1361,1268,4810,847246,debit card
TRD0101910,TXN109989,RAhUl,SHarmA,male,SBIN,NSE,delivery,2024-04-09,3078,4430,3433,2484,793242,net banking
TRD0101914,TXN948210,rohIt,paTEl,male,ADANIPORTS,NSE,options,31-04-2024,3013,2038,4287,1315,47459,net banking
TRD0101912,TXN534415,AmIt,gUpta,M,TCS,BSE,options,04-11-2024,1189,888,3055,2007,13340,credit card
TRD0101915,TXN973535,AnANYA,IyeR,female,SBIN,NSE,futures,2024-04-12,4942,2961,2588,4244,826172,upi
TRD0101920,TXN528883,ARjuN,MEHTA,M,SBIN,BSE,options,13/04/2024,4303,1986,3299,913,722310,credit card
TRD0101912,TXN597563,AMIt,GUpTA,M,RELIANCE,BSE,intraday,04-14-2024,4936,2681,2817,1673,730183,upi
TRD0101919,TXN106196,snehA,daS,female,LT,NSE,futures,2024/04/15,2861,824,656,2996,311678,debit card
TRD0101913,TXN398148,POoja,sINGH,F,INFY,NSE,delivery,16-04-2024,4401,3990,4182,2096,904484,debit card
TRD0101912,TXN362961,amIt,guPTa,M,HDFCBANK,BSE,options,04-17-2024,1718,2107,2812,3460,343085,net banking
TRD0101912,TXN561634,aMiT,GUPtA,M,RELIANCE,BSE,delivery,18/04/2024,2430,1796,2433,758,449482,credit card
TRD0101911,TXN949252,NeHa,vErmA,female,TCS,BSE,futures,2024-04-19,3879,1079,2168,4693,520495,debit card
TRD0101924,TXN439252,iShA,kHAn,female,ONGC,NSE,options,04-20-2024,4094,2365,499,4994,916478,credit card
TRD0101921,TXN674880,rANI,cHaTTerjeE,F,HDFCBANK,NSE,intraday,2024/04/21,2887,3171,3654,748,572212,upi
TRD0101922,TXN520978,DEEPak,Tiwari,male,ONGC,BSE,intraday,22-04-2024,3983,4847,3375,829,581964,credit card
TRD0101911,TXN700163,NEha,VERMa,female,ONGC,NSE,futures,2024/04/23,816,1820,4898,2702,434322,upi
TRD0101913,TXN494252,poojA,SiNgH,F,ONGC,BSE,futures,24/04/2024,1997,5090,3937,1845,413577,debit card
TRD0101923,TXN790913,mANIsh,agArWAl,M,ICICIBANK,BSE,futures,25/04/2024,2218,2447,3375,2132,877282,credit card
TRD0101917,TXN967872,KAVIta,jAiN,F,LT,NSE,futures,04-26-2024,2731,3619,4050,4417,944788,credit card
TRD0101921,TXN921610,raNI,cHaTterJEE,F,SBIN,NSE,futures,31-04-2024,1543,956,1460,4590,836596,net banking
TRD0101911,TXN833592,nEHa,Verma,female,SBIN,BSE,intraday,28-04-2024,3620,4125,733,2842,806519,credit card
TRD0101914,TXN815197,rOHIT,PATEl,male,ONGC,NSE,options,04-01-2024,4582,1404,3936,1825,966343,upi
TRD0101924,TXN483498,IShA,kHAn,female,ADANIPORTS,NSE,intraday,2024/04/02,2157,4583,3847,5048,352259,credit card
TRD0101915,TXN401353,aNANyA,Iyer,female,SBIN,NSE,delivery,2024/04/03,2124,1022,2534,3933,808454,credit card
TRD0101921,TXN539012,rAnI,ChaTTErjEE,F,ICICIBANK,BSE,options,04-2024-04,1130,1641,1967,3783,760628,net banking
TRD0101923,TXN520781,Manish,agaRwaL,M,TCS,NSE,intraday,05-04-2024,3876,3399,3170,4725,288131,debit card
TRD0101916,TXN266017,SuReSH,MIsHrA,M,HDFCBANK,BSE,options,2024/04/06,4084,2466,4039,3303,107166,credit card
TRD0101915,TXN668338,AnAnya,iYer,female,ICICIBANK,NSE,futures,07-04-2024,1384,3277,1985,927,548842,net banking
TRD0101922,TXN774719,dEePak,tiWARi,male,TCS,BSE,options,04-2024-08,4290,1055,2960,2393,116289,net banking
TRD0101920,TXN119632,aRJUn,mehtA,M,LT,NSE,delivery,04-2024-09,1248,4036,4265,2181,96287,net banking
TRD0101923,TXN286529,mANish,agArWAl,M,TCS,NSE,delivery,2024/04/10,1028,569,1636,3284,647106,net banking
TRD0101912,TXN512206,amIT,Gupta,M,ADANIPORTS,BSE,futures,2024-04-11,2101,1229,1192,4531,291988,debit card
TRD0101918,TXN156749,vIKRAm,NaIDu,male,ONGC,NSE,intraday,2024/04/12,1851,4363,4584,4169,383487,net banking
TRD0101920,TXN366124,ArjuN,Mehta,M,HDFCBANK,NSE,futures,04-2024-13,4828,3156,887,2684,769745,debit card
TRD0101919,TXN483161,snehA,das,female,TCS,NSE,delivery,04-14-2024,4608,763,2244,1023,514912,debit card
TRD0101916,TXN770843,sUResH,MIsHrA,M,LT,NSE,options,04-15-2024,1341,4584,4973,3951,384466,credit card
TRD0101912,TXN795157,amiT,GUPTa,M,ADANIPORTS,BSE,delivery,2024/04/16,3354,3573,2863,4792,110485,upi
TRD0101918,TXN323352,ViKRaM,NAIDU,male,INFY,NSE,futures,17/04/2024,3075,1589,2135,1971,489926,credit card
TRD0101913,TXN988963,pOOjA,Singh,F,ONGC,NSE,delivery,31-04-2024,2397,4417,612,1477,283954,credit card
TRD0101922,TXN843154,DEEpak,tiwArI,male,NTPC,NSE,intraday,2024-04-19,4100,4629,1565,552,282222,credit card
TRD0101910,TXN192188,rAhUL,sHARmA,male,RELIANCE,BSE,options,20-04-2024,859,1713,899,4874,471867,net banking
TRD0101910,TXN262072,RAhUl,SHarmA,male,HDFCBANK,NSE,futures,04-2024-21,1321,1090,1971,4801,41189,debit card
TRD0101914,TXN751441,rohIt,paTEl,male,NTPC,BSE,futures,04-2024-22,4886,2153,1143,4146,961042,upi
TRD0101912,TXN586148,AmIt,gUpta,M,ICICIBANK,NSE,delivery,2024-04-23,2791,4821,3044,1683,77598,debit card
TRD0101915,TXN800863,AnANYA,IyeR,female,SBIN,NSE,delivery,24/04/2024,609,603,4599,1662,855367,credit card
TRD0101920,TXN337292,ARjuN,MEHTA,M,SBIN,NSE,options,04-2024-25,605,3162,1271,4806,827653,net banking
TRD0101912,TXN628377,AMIt,GUpTA,M,ONGC,BSE,delivery,31-04-2024,1687,4880,4693,2142,122866,upi
TRD0101919,TXN300652,snehA,daS,female,RELIANCE,BSE,delivery,27-04-2024,1793,3887,3034,2890,92754,upi
TRD0101913,TXN176278,POoja,sINGH,F,ICICIBANK,BSE,delivery,2024/04/28,3263,1235,2972,3660,96293,upi
TRD0101912,TXN306309,amIt,guPTa,M,SBIN,BSE,futures,2024-04-01,559,4660,4088,1874,893089,net banking
TRD0101912,TXN775954,aMiT,GUPtA,M,TCS,NSE,intraday,02-04-2024,1660,3373,3725,2399,349902,debit card
TRD0101911,TXN289475,NeHa,vErmA,female,ONGC,NSE,delivery,2024-04-03,3310,3942,806,1615,978371,upi
TRD0101924,TXN770888,iShA,kHAn,female,NTPC,NSE,futures,31-04-2024,4773,4097,1485,829,425385,credit card
TRD0101921,TXN122097,rANI,cHaTTerjeE,F,ICICIBANK,BSE,options,2024/04/05,4090,3646,1478,4366,270966,upi
TRD0101922,TXN624614,DEEPak,Tiwari,male,SBIN,NSE,options,06/04/2024,740,3153,4455,1541,963092,upi
TRD0101911,TXN530963,NEha,VERMa,female,RELIANCE,BSE,futures,2024-04-07,1458,4961,3789,3169,750071,debit card
TRD0101913,TXN897569,poojA,SiNgH,F,NTPC,NSE,delivery,2024/04/08,1940,3796,3131,4813,856156,net banking
TRD0101923,TXN527773,mANIsh,agArWAl,M,SBIN,BSE,intraday,2024-04-09,2472,1467,1238,4510,700260,upi
TRD0101917,TXN595261,KAVIta,jAiN,F,ICICIBANK,NSE,intraday,04-2024-10,1020,2025,3712,1591,550406,credit card
TRD0101921,TXN737521,raNI,cHaTterJEE,F,LT,NSE,options,2024/04/11,591,4723,991,1940,789751,credit card
TRD0101911,TXN394918,nEHa,Verma,female,TCS,BSE,delivery,2024-04-12,3829,1369,3573,2786,621321,upi
TRD0101914,TXN262373,rOHIT,PATEl,male,ICICIBANK,BSE,futures,04-13-2024,3206,4933,2596,3096,426840,net banking
TRD0101924,TXN280213,IShA,kHAn,female,ICICIBANK,BSE,intraday,31-04-2024,2414,959,1395,1045,813454,debit card
TRD0101915,TXN225727,aNANyA,Iyer,female,NTPC,BSE,delivery,2024/04/15,3354,4226,2315,3858,81654,credit card
TRD0101921,TXN547816,rAnI,ChaTTErjEE,F,ICICIBANK,BSE,options,2024-04-16,632,4627,3984,1342,882652,net banking
TRD0101923,TXN269602,Manish,agaRwaL,M,SBIN,NSE,delivery,17/04/2024,2363,1966,4066,1891,679178,upi
TRD0101916,TXN908437,SuReSH,MIsHrA,M,SBIN,NSE,options,18/04/2024,2531,2627,3854,4661,466403,credit card
TRD0101915,TXN909976,AnAnya,iYer,female,LT,BSE,intraday,2024-04-19,2362,3887,2055,1380,58946,upi
TRD0101922,TXN183642,dEePak,tiWARi,male,HDFCBANK,BSE,futures,04-2024-20,1905,2867,2802,1409,973939,credit card
TRD0101920,TXN944128,aRJUn,mehtA,M,ICICIBANK,BSE,delivery,2024/04/21,616,4086,3329,736,264634,credit card
TRD0101923,TXN889707,mANish,agArWAl,M,ICICIBANK,BSE,intraday,22-04-2024,3816,4218,3631,4605,866591,debit card
TRD0101912,TXN623133,amIT,Gupta,M,LT,NSE,futures,04-23-2024,3995,2712,4803,648,508365,net banking
TRD0101918,TXN579593,vIKRAm,NaIDu,male,TCS,NSE,delivery,2024-04-24,1186,2192,2594,2439,428964,net banking
TRD0101920,TXN608783,ArjuN,Mehta,M,ADANIPORTS,NSE,options,25/04/2024,3138,4474,3824,2019,351568,debit card
TRD0101919,TXN645608,snehA,das,female,ONGC,BSE,options,31-04-2024,2583,4583,3295,4884,778990,upi
TRD0101916,TXN941718,sUResH,MIsHrA,M,INFY,NSE,intraday,27-04-2024,4419,2714,1039,3107,702239,debit card
TRD0101912,TXN223656,amiT,GUPTa,M,TCS,NSE,delivery,28-04-2024,3867,1215,3052,1653,385076,debit card
TRD0101918,TXN898006,ViKRaM,NAIDU,male,LT,BSE,futures,01-04-2024,2449,1622,1854,3983,145426,net banking
TRD0101913,TXN900091,pOOjA,Singh,F,NTPC,NSE,options,2024/04/02,3910,3697,4329,1732,574007,debit card
TRD0101922,TXN272195,DEEpak,tiwArI,male,NTPC,BSE,delivery,31-04-2024,4897,2959,506,5055,727809,debit card
TRD0101910,TXN903070,rAhUL,sHARmA,male,RELIANCE,NSE,options,04-04-2024,3064,3015,3178,3725,968663,credit card
TRD0101910,TXN311165,RAhUl,SHarmA,male,NTPC,NSE,intraday,2024-04-05,1922,2490,2432,3121,928303,credit card
TRD0101914,TXN228591,rohIt,paTEl,male,TCS,NSE,options,06-04-2024,2142,3201,2704,4788,328659,net banking
TRD0101912,TXN133784,AmIt,gUpta,M,ICICIBANK,NSE,options,31-04-2024,2194,4665,4483,1142,832066,credit card
TRD0101915,TXN788100,AnANYA,IyeR,female,INFY,BSE,intraday,04-2024-08,3446,518,3309,992,272826,upi
TRD0101920,TXN108529,ARjuN,MEHTA,M,NTPC,BSE,futures,2024-04-09,585,3692,3731,5058,936532,net banking
TRD0101912,TXN218683,AMIt,GUpTA,M,LT,BSE,delivery,10-04-2024,3402,3678,566,587,999043,net banking
TRD0101919,TXN683450,snehA,daS,female,ONGC,NSE,futures,2024-04-11,4993,5046,2611,983,582737,credit card
TRD0101913,TXN669108,POoja,sINGH,F,HDFCBANK,BSE,intraday,04-12-2024,3984,1993,4684,4036,367473,net banking
TRD0101912,TXN876308,amIt,guPTa,M,TCS,NSE,delivery,31-04-2024,1997,2731,883,3106,398873,credit card
TRD0101912,TXN536299,aMiT,GUPtA,M,ONGC,BSE,options,04-14-2024,4051,1176,4887,4884,358069,debit card
TRD0101911,TXN265585,NeHa,vErmA,female,TCS,NSE,delivery,04-2024-15,1963,3348,4308,835,486681,credit card
TRD0101924,TXN310037,iShA,kHAn,female,RELIANCE,BSE,options,16/04/2024,4746,4307,3771,4841,686723,upi
TRD0101921,TXN453258,rANI,cHaTTerjeE,F,ICICIBANK,NSE,futures,04-2024-17,4494,3534,1119,995,422205,credit card
TRD0101922,TXN413060,DEEPak,Tiwari,male,ADANIPORTS,BSE,options,18/04/2024,2208,616,1809,3415,274848,debit card
