trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN198711,ArjuN,Mehta,M,INFY,BSE,intraday,31-08-2024,4550,1458,903,5089,909119,debit card
TRD0101919,TXN385615,snehA,das,female,INFY,NSE,options,2024/08/02,3358,2305,2020,1945,527106,credit card
TRD0101916,TXN498004,sUResH,MIsHrA,M,SBIN,NSE,futures,03/08/2024,4698,3278,4606,3408,249416,upi
TRD0101912,TXN936426,amiT,GUPTa,M,INFY,NSE,delivery,04-08-2024,2611,2156,923,2536,752884,net banking
TRD0101918,TXN955569,ViKRaM,NAIDU,male,RELIANCE,NSE,futures,05/08/2024,1417,768,2412,4514,279063,net banking
TRD0101913,TXN593299,pOOjA,Singh,F,TCS,BSE,futures,08-2024-06,2080,1211,1575,4295,55342,upi
TRD0101922,TXN417733,DEEpak,tiwArI,male,RELIANCE,BSE,options,08-2024-07,1537,1194,1565,4005,833605,net banking
TRD0101910,TXN308539,rAhUL,sHARmA,male,LT,NSE,delivery,08/08/2024,861,1429,3026,4063,754827,upi
TRD0101910,TXN489635,RAhUl,SHarmA,male,LT,NSE,futures,31-08-2024,1883,2676,3290,4551,402448,credit card
TRD0101914,TXN304888,rohIt,paTEl,male,LT,BSE,intraday,31-08-2024,886,555,823,1792,20058,debit card
TRD0101912,TXN317383,AmIt,gUpta,M,NTPC,NSE,intraday,31-08-2024,895,1283,2112,3055,467652,upi
TRD0101915,TXN646893,AnANYA,IyeR,female,INFY,NSE,options,2024/08/12,2139,5000,4792,4630,577111,upi
TRD0101920,TXN613176,ARjuN,MEHTA,M,ONGC,BSE,delivery,08-2024-13,791,4443,2957,3038,253102,net banking
TRD0101912,TXN985657,AMIt,GUpTA,M,HDFCBANK,BSE,options,08-2024-14,2951,3975,2716,3286,330966,credit card
TRD0101919,TXN442164,snehA,daS,female,NTPC,NSE,futures,08-15-2024,2284,3002,2929,993,337167,upi
TRD0101913,TXN752468,POoja,sINGH,F,INFY,NSE,delivery,16/08/2024,2963,2977,750,2138,858561,net banking
TRD0101912,TXN701651,amIt,guPTa,M,TCS,NSE,options,2024/08/17,3029,3182,4232,4475,897513,net banking
TRD0101912,TXN636741,aMiT,GUPtA,M,HDFCBANK,NSE,futures,08-18-2024,1587,902,4125,683,465046,net banking
TRD0101911,TXN530551,NeHa,vErmA,female,ADANIPORTS,NSE,options,31-08-2024,4526,2940,3013,1182,753074,net banking
TRD0101924,TXN161871,iShA,kHAn,female,TCS,NSE,options,2024/08/20,591,2529,3267,4094,891834,upi
TRD0101921,TXN198971,rANI,cHaTTerjeE,F,ONGC,NSE,futures,08-2024-21,4175,2819,3118,3972,741501,upi
TRD0101922,TXN245890,DEEPak,Tiwari,male,TCS,BSE,options,22-08-2024,3151,771,1832,1889,570816,net banking
TRD0101911,TXN530182,NEha,VERMa,female,NTPC,NSE,futures,23-08-2024,1567,1796,805,4589,632310,debit card
TRD0101913,TXN851392,poojA,SiNgH,F,ONGC,BSE,futures,24-08-2024,1792,4387,668,3124,216887,credit card
TRD0101923,TXN400834,mANIsh,agArWAl,M,NTPC,BSE,delivery,31-08-2024,1606,5063,2912,4365,457115,credit card
TRD0101917,TXN340662,KAVIta,jAiN,F,RELIANCE,NSE,options,31-08-2024,3847,4985,1344,4525,888797,upi
TRD0101921,TXN939473,raNI,cHaTterJEE,F,NTPC,BSE,options,2024/08/27,4372,620,1795,1547,770445,upi
TRD0101911,TXN214913,nEHa,Verma,female,LT,NSE,delivery,08-28-2024,4879,4056,1683,1334,309847,upi
TRD0101914,TXN248684,rOHIT,PATEl,male,ONGC,BSE,options,31-08-2024,521,5170,1275,4071,382433,net banking
TRD0101924,TXN621093,IShA,kHAn,female,SBIN,NSE,futures,2024-08-02,2312,1119,3814,2198,511457,credit card
TRD0101915,TXN284379,aNANyA,Iyer,female,TCS,NSE,delivery,31-08-2024,4205,1546,4307,2645,335358,upi
TRD0101921,TXN533658,rAnI,ChaTTErjEE,F,SBIN,NSE,futures,31-08-2024,1084,1381,4022,1825,935995,net banking
TRD0101923,TXN118470,Manish,agaRwaL,M,NTPC,BSE,futures,08-05-2024,626,4610,924,1242,579624,upi
TRD0101916,TXN585658,SuReSH,MIsHrA,M,ADANIPORTS,NSE,futures,06-08-2024,1250,2778,844,1766,350340,debit card
TRD0101915,TXN931889,AnAnya,iYer,female,NTPC,NSE,intraday,2024/08/07,1561,2723,2900,4469,567315,credit card
TRD0101922,TXN280710,dEePak,tiWARi,male,ADANIPORTS,NSE,intraday,2024-08-08,692,3690,4809,2715,115158,net banking
TRD0101920,TXN228368,aRJUn,mehtA,M,INFY,BSE,intraday,2024-08-09,3396,4315,1030,2055,31914,upi
TRD0101923,TXN764389,mANish,agArWAl,M,ICICIBANK,BSE,intraday,2024/08/10,688,4637,2698,5013,761827,credit card
TRD0101912,TXN298599,amIT,Gupta,M,LT,BSE,options,31-08-2024,3478,1370,3608,3644,810087,net banking
TRD0101918,TXN138295,vIKRAm,NaIDu,male,ADANIPORTS,NSE,futures,2024-08-12,3158,1820,4806,4331,235008,credit card
TRD0101920,TXN253825,ArjuN,Mehta,M,NTPC,BSE,futures,2024/08/13,911,1337,2084,3389,287564,debit card
TRD0101919,TXN879856,snehA,das,female,SBIN,BSE,options,08-14-2024,2871,5160,1128,2858,934238,credit card
TRD0101916,TXN984779,sUResH,MIsHrA,M,LT,NSE,futures,15-08-2024,1283,4987,2110,2598,538869,credit card
TRD0101912,TXN901892,amiT,GUPTa,M,LT,BSE,intraday,2024/08/16,836,2894,4655,4257,805358,credit card
TRD0101918,TXN491486,ViKRaM,NAIDU,male,INFY,BSE,futures,08-2024-17,2481,1139,3754,3870,492052,net banking
TRD0101913,TXN993341,pOOjA,Singh,F,INFY,NSE,delivery,18/08/2024,1441,2690,1343,3702,872132,credit card
TRD0101922,TXN526714,DEEpak,tiwArI,male,RELIANCE,NSE,options,08-2024-19,2861,659,494,1237,628367,credit card
TRD0101910,TXN787475,rAhUL,sHARmA,male,ICICIBANK,NSE,delivery,31-08-2024,2854,3865,3862,4876,691438,credit card
TRD0101910,TXN302639,RAhUl,SHarmA,male,INFY,BSE,delivery,21-08-2024,1770,5193,900,1264,750248,credit card
TRD0101914,TXN580844,rohIt,paTEl,male,NTPC,BSE,futures,08-2024-22,3440,2933,2056,1206,88147,debit card
TRD0101912,TXN297847,AmIt,gUpta,M,ONGC,BSE,delivery,23-08-2024,708,534,3764,5095,673666,credit card
TRD0101915,TXN951560,AnANYA,IyeR,female,TCS,NSE,delivery,31-08-2024,668,3371,2277,1017,438111,debit card
TRD0101920,TXN259684,ARjuN,MEHTA,M,ADANIPORTS,BSE,delivery,25-08-2024,709,3762,4461,3195,163985,upi
TRD0101912,TXN411524,AMIt,GUpTA,M,ADANIPORTS,NSE,futures,26-08-2024,3183,3892,3134,1995,118504,debit card
TRD0101919,TXN475218,snehA,daS,female,ICICIBANK,BSE,options,31-08-2024,1292,1181,494,4279,572798,debit card
TRD0101913,TXN850474,POoja,sINGH,F,LT,NSE,options,28-08-2024,4953,4918,923,3065,452871,net banking
TRD0101912,TXN228239,amIt,guPTa,M,TCS,BSE,intraday,08-01-2024,1210,2684,598,1406,860839,credit card
TRD0101912,TXN539398,aMiT,GUPtA,M,INFY,BSE,futures,08-2024-02,2321,4835,4636,3835,415601,upi
TRD0101911,TXN591756,NeHa,vErmA,female,ICICIBANK,NSE,options,08-03-2024,1289,2615,4885,4702,205810,credit card
TRD0101924,TXN639364,iShA,kHAn,female,SBIN,BSE,intraday,2024/08/04,3577,1711,2323,916,13018,credit card
TRD0101921,TXN486079,rANI,cHaTTerjeE,F,TCS,NSE,options,05-08-2024,4478,1476,732,2293,526231,upi
TRD0101922,TXN866450,DEEPak,Tiwari,male,TCS,NSE,options,08-2024-06,1087,2390,2165,1364,838221,upi
TRD0101911,TXN213624,NEha,VERMa,female,INFY,BSE,intraday,2024-08-07,4116,2603,3033,4388,395757,net banking
TRD0101913,TXN795637,poojA,SiNgH,F,NTPC,BSE,intraday,08/08/2024,4988,858,3924,1382,533736,net banking
TRD0101923,TXN501715,mANIsh,agArWAl,M,RELIANCE,NSE,delivery,2024-08-09,3745,2765,1150,1803,558562,credit card
TRD0101917,TXN428777,KAVIta,jAiN,F,NTPC,NSE,intraday,08-10-2024,4876,4092,542,680,114767,debit card
TRD0101921,TXN132950,raNI,cHaTterJEE,F,LT,NSE,futures,08-2024-11,4112,4026,2636,2712,752015,debit card
TRD0101911,TXN174369,nEHa,Verma,female,LT,NSE,futures,2024/08/12,3182,2717,760,1120,217003,upi
TRD0101914,TXN722985,rOHIT,PATEl,male,INFY,NSE,futures,31-08-2024,2353,4798,4603,1180,915948,credit card
TRD0101924,TXN476228,IShA,kHAn,female,HDFCBANK,BSE,delivery,08-14-2024,2870,3768,4787,3824,139229,net banking
TRD0101915,TXN655606,aNANyA,Iyer,female,ICICIBANK,NSE,futures,15/08/2024,3256,4698,3066,2897,693439,net banking
TRD0101921,TXN331768,rAnI,ChaTTErjEE,F,HDFCBANK,BSE,delivery,16/08/2024,4418,2931,1517,3290,32847,net banking
TRD0101923,TXN914838,Manish,agaRwaL,M,INFY,BSE,options,08-17-2024,2109,2104,4157,2726,66530,debit card
TRD0101916,TXN310485,SuReSH,MIsHrA,M,SBIN,NSE,options,18-08-2024,4373,5092,2632,1373,527742,net banking
TRD0101915,TXN472993,AnAnya,iYer,female,HDFCBANK,BSE,futures,08-2024-19,3559,3794,4261,2316,550264,credit card
TRD0101922,TXN323760,dEePak,tiWARi,male,SBIN,NSE,options,20-08-2024,3998,1718,2265,1327,25249,upi
TRD0101920,TXN941510,aRJUn,mehtA,M,SBIN,BSE,futures,21-08-2024,3473,3955,4563,1883,246330,upi
TRD0101923,TXN112293,mANish,agArWAl,M,LT,BSE,futures,31-08-2024,4229,571,2823,2251,746369,upi
TRD0101912,TXN159128,amIT,Gupta,M,ADANIPORTS,NSE,futures,23-08-2024,4654,3807,2993,4793,561794,credit card
TRD0101918,TXN623306,vIKRAm,NaIDu,male,INFY,BSE,futures,24-08-2024,972,2116,1975,3539,758245,credit card
TRD0101920,TXN602895,ArjuN,Mehta,M,HDFCBANK,NSE,options,31-08-2024,4851,3971,4702,4300,296642,debit card
