trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN376818,ArjuN,Mehta,M,LT,NSE,delivery,12-01-2024,1387,3566,4669,1554,460091,net banking
TRD0101919,TXN964111,snehA,das,female,ONGC,NSE,delivery,12-02-2024,1420,1959,2487,2741,193270,net banking
TRD0101916,TXN983910,sUResH,MIsHrA,M,HDFCBANK,NSE,options,03-12-2024,2264,3989,4139,2469,765630,net banking
TRD0101912,TXN406111,amiT,GUPTa,M,INFY,BSE,futures,04/12/2024,3823,3143,4409,542,198330,credit card
TRD0101918,TXN899040,ViKRaM,NAIDU,male,TCS,BSE,delivery,31-12-2024,3684,2908,2749,548,636167,debit card
TRD0101913,TXN869538,pOOjA,Singh,F,RELIANCE,BSE,delivery,12-06-2024,969,3626,1204,1234,288282,upi
TRD0101922,TXN310351,DEEpak,tiwArI,male,ONGC,NSE,futures,07-12-2024,3344,2552,2855,798,362932,upi
TRD0101910,TXN259628,rAhUL,sHARmA,male,LT,BSE,intraday,2024/12/08,4440,1132,480,4658,846024,credit card
TRD0101910,TXN706019,RAhUl,SHarmA,male,ADANIPORTS,NSE,delivery,12-2024-09,941,4843,4143,2782,500191,upi
TRD0101914,TXN680218,rohIt,paTEl,male,TCS,NSE,delivery,10/12/2024,3806,1444,4395,1236,633332,debit card
TRD0101912,TXN793516,AmIt,gUpta,M,RELIANCE,NSE,options,2024-12-11,3630,3086,1955,5052,953930,upi
TRD0101915,TXN206678,AnANYA,IyeR,female,NTPC,BSE,options,2024/12/12,3528,828,4604,4423,76592,upi
TRD0101920,TXN266083,ARjuN,MEHTA,M,TCS,BSE,futures,31-12-2024,3301,3238,2446,1853,592794,credit card
TRD0101912,TXN477869,AMIt,GUpTA,M,ONGC,NSE,futures,14/12/2024,975,2219,807,1492,714424,net banking
TRD0101919,TXN808202,snehA,daS,female,ICICIBANK,NSE,delivery,15-12-2024,870,3998,3026,2472,572371,debit card
TRD0101913,TXN270634,POoja,sINGH,F,NTPC,BSE,futures,12-16-2024,3468,2103,2007,1114,163902,credit card
TRD0101912,TXN870082,amIt,guPTa,M,ICICIBANK,NSE,delivery,31-12-2024,2546,2630,1999,1334,763880,debit card
TRD0101912,TXN691166,aMiT,GUPtA,M,ADANIPORTS,BSE,delivery,2024-12-18,4027,4664,794,1105,689505,upi
