trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN852716,ArjuN,Mehta,M,RELIANCE,BSE,intraday,2024-02-01,1491,4556,2467,659,882586,upi
TRD0101919,TXN527469,snehA,das,female,INFY,NSE,options,2024/02/02,4886,2288,4892,4040,635765,debit card
TRD0101916,TXN307849,sUResH,MIsHrA,M,ICICIBANK,BSE,futures,03/02/2024,3221,4249,1269,3523,713826,upi
TRD0101912,TXN901219,amiT,GUPTa,M,ICICIBANK,BSE,delivery,02-2024-04,4478,702,2138,2595,626288,upi
TRD0101918,TXN276309,ViKRaM,NAIDU,male,NTPC,NSE,intraday,05-02-2024,3173,5171,2617,1242,233466,upi
TRD0101913,TXN128134,pOOjA,Singh,F,ONGC,NSE,delivery,06/02/2024,2552,2483,4286,1967,637955,debit card
TRD0101922,TXN348952,DEEpak,tiwArI,male,SBIN,NSE,options,31-02-2024,3197,4244,990,3606,927818,debit card
TRD0101910,TXN836894,rAhUL,sHARmA,male,ADANIPORTS,NSE,delivery,02-08-2024,3140,3616,4537,703,558479,net banking
TRD0101910,TXN654940,RAhUl,SHarmA,male,ICICIBANK,BSE,futures,02-09-2024,4178,3521,2294,1413,295956,net banking
TRD0101914,TXN573772,rohIt,paTEl,male,TCS,NSE,intraday,02-2024-10,1051,1504,1148,4865,607027,credit card
TRD0101912,TXN943973,AmIt,gUpta,M,TCS,BSE,options,02-2024-11,1449,3121,1500,3752,953814,credit card
TRD0101915,TXN876570,AnANYA,IyeR,female,TCS,BSE,options,2024-02-12,1060,3742,1520,3354,203690,net banking
TRD0101920,TXN952689,ARjuN,MEHTA,M,TCS,NSE,options,13-02-2024,3432,4972,787,2176,477957,net banking
TRD0101912,TXN264815,AMIt,GUpTA,M,ONGC,NSE,delivery,14/02/2024,2092,522,3819,4783,97279,debit card
TRD0101919,TXN531588,snehA,daS,female,LT,BSE,futures,15/02/2024,1047,1783,581,1322,827379,upi
TRD0101913,TXN923153,POoja,sINGH,F,ICICIBANK,BSE,intraday,2024-02-16,979,3554,4360,2554,462120,upi
TRD0101912,TXN230205,amIt,guPTa,M,RELIANCE,BSE,options,31-02-2024,3890,1475,4675,3361,251562,upi
