trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN670057,ArjuN,Mehta,M,LT,NSE,intraday,31-01-2024,1399,2404,2381,763,75121,net banking
TRD0101919,TXN128055,snehA,das,female,ICICIBANK,BSE,delivery,31-01-2024,4332,600,2900,1536,675533,net banking
TRD0101916,TXN679213,sUResH,MIsHrA,M,ICICIBANK,BSE,futures,01-03-2024,2538,1993,3923,2512,835443,debit card
TRD0101912,TXN380000,amiT,GUPTa,M,ADANIPORTS,NSE,delivery,31-01-2024,937,1191,1052,4845,992797,debit card
TRD0101918,TXN590686,ViKRaM,NAIDU,male,TCS,NSE,intraday,2024-01-05,885,1439,4812,3834,980612,debit card
TRD0101913,TXN141802,pOOjA,Singh,F,ONGC,NSE,delivery,01-06-2024,2865,3248,4905,2616,843970,upi
TRD0101922,TXN276839,DEEpak,tiwArI,male,NTPC,NSE,options,2024/01/07,573,3933,3023,2647,535473,net banking
TRD0101910,TXN496141,rAhUL,sHARmA,male,ICICIBANK,NSE,delivery,2024/01/08,4290,2444,1617,2133,720629,debit card
TRD0101910,TXN468937,RAhUl,SHarmA,male,ICICIBANK,NSE,intraday,31-01-2024,2618,5082,4360,3954,619086,debit card
TRD0101914,TXN247019,rohIt,paTEl,male,ONGC,BSE,futures,01-2024-10,3907,1274,3484,3074,637531,net banking
TRD0101912,TXN266247,AmIt,gUpta,M,TCS,NSE,options,2024/01/11,3231,3569,2611,2785,585229,upi
TRD0101915,TXN121796,AnANYA,IyeR,female,RELIANCE,BSE,intraday,01-2024-12,1945,3990,3436,1004,265304,credit card
TRD0101920,TXN168523,ARjuN,MEHTA,M,ICICIBANK,BSE,intraday,31-01-2024,4088,4344,1959,4387,697094,debit card
TRD0101912,TXN716558,AMIt,GUpTA,M,NTPC,BSE,options,31-01-2024,4688,2233,3212,2260,479659,net banking
TRD0101919,TXN961299,snehA,daS,female,HDFCBANK,BSE,options,15-01-2024,2338,4946,3530,3068,800162,credit card
TRD0101913,TXN425017,POoja,sINGH,F,ADANIPORTS,NSE,futures,31-01-2024,834,1809,4308,776,122048,credit card
TRD0101912,TXN849761,amIt,guPTa,M,LT,NSE,intraday,2024-01-17,3054,1537,1907,532,971513,credit card
TRD0101912,TXN743852,aMiT,GUPtA,M,ADANIPORTS,NSE,options,2024/01/18,2122,3105,4990,2496,200019,net banking
TRD0101911,TXN945940,NeHa,vErmA,female,INFY,BSE,delivery,01-2024-19,3956,1759,1744,2039,126925,upi
TRD0101924,TXN883742,iShA,kHAn,female,ONGC,NSE,options,2024-01-20,730,3445,2477,503,252993,upi
