trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN111518,ArjuN,Mehta,M,INFY,BSE,delivery,07-2024-01,1765,1060,4273,2752,890895,credit card
TRD0101919,TXN779617,snehA,das,female,TCS,NSE,delivery,07-02-2024,597,2208,1102,4805,235219,debit card
TRD0101916,TXN407642,sUResH,MIsHrA,M,NTPC,NSE,options,03/07/2024,4239,2509,3572,4530,680085,credit card
TRD0101912,TXN102860,amiT,GUPTa,M,TCS,BSE,options,2024/07/04,3775,1203,4870,1491,148600,net banking
TRD0101918,TXN146119,ViKRaM,NAIDU,male,SBIN,NSE,options,2024-07-05,2889,3313,1396,3490,736561,net banking
TRD0101913,TXN141522,pOOjA,Singh,F,ICICIBANK,BSE,futures,07-06-2024,1286,1153,4398,1873,116875,debit card
TRD0101922,TXN504709,DEEpak,tiwArI,male,ICICIBANK,NSE,intraday,07-2024-07,1082,1345,3456,4021,685913,net banking
TRD0101910,TXN359682,rAhUL,sHARmA,male,NTPC,BSE,options,08/07/2024,1590,2544,3381,4947,456738,credit card
TRD0101910,TXN375407,RAhUl,SHarmA,male,TCS,NSE,delivery,2024-07-09,811,2282,2393,1995,170276,net banking
TRD0101914,TXN635542,rohIt,paTEl,male,LT,NSE,options,10/07/2024,2934,1511,3728,3827,824564,debit card
TRD0101912,TXN863164,AmIt,gUpta,M,TCS,NSE,delivery,11-07-2024,2266,4363,4628,3856,131833,net banking
TRD0101915,TXN551624,AnANYA,IyeR,female,HDFCBANK,NSE,delivery,07-12-2024,3450,1774,3486,1415,932605,credit card
TRD0101920,TXN483624,ARjuN,MEHTA,M,SBIN,NSE,options,07-13-2024,2787,1761,2123,2863,968572,credit card
TRD0101912,TXN168608,AMIt,GUpTA,M,NTPC,NSE,options,14-07-2024,1686,2573,2847,637,452338,net banking
TRD0101919,TXN445016,snehA,daS,female,ONGC,NSE,options,2024/07/15,2998,992,3993,3325,678144,credit card
TRD0101913,TXN543592,POoja,sINGH,F,ONGC,BSE,futures,16/07/2024,1701,1948,2460,4049,815518,debit card
TRD0101912,TXN326063,amIt,guPTa,M,NTPC,BSE,intraday,2024/07/17,4875,4150,1483,3838,73887,net banking
TRD0101912,TXN298440,aMiT,GUPtA,M,HDFCBANK,NSE,delivery,18/07/2024,859,4061,2208,3066,429572,credit card
TRD0101911,TXN840320,NeHa,vErmA,female,SBIN,NSE,futures,07-2024-19,3158,2339,2196,557,911404,net banking
TRD0101924,TXN110646,iShA,kHAn,female,INFY,NSE,delivery,2024-07-20,2261,2647,599,4635,637028,debit card
TRD0101921,TXN293929,rANI,cHaTTerjeE,F,SBIN,NSE,futures,07-21-2024,2786,3796,3426,4993,187433,debit card
TRD0101922,TXN609627,DEEPak,Tiwari,male,TCS,NSE,options,22-07-2024,1588,864,2284,949,209232,net banking
TRD0101911,TXN288211,NEha,VERMa,female,RELIANCE,NSE,options,2024/07/23,4014,2592,2770,4007,217679,debit card
TRD0101913,TXN303034,poojA,SiNgH,F,HDFCBANK,NSE,options,07-24-2024,823,852,1816,4946,575920,upi
TRD0101923,TXN457143,mANIsh,agArWAl,M,ICICIBANK,BSE,options,2024/07/25,3629,2394,924,4605,215413,upi
TRD0101917,TXN849399,KAVIta,jAiN,F,INFY,BSE,futures,07-2024-26,1802,3116,3460,1421,922433,upi
TRD0101921,TXN911346,raNI,cHaTterJEE,F,LT,NSE,intraday,27-07-2024,751,2372,2565,1790,357762,net banking
TRD0101911,TXN400594,nEHa,Verma,female,TCS,NSE,options,28-07-2024,4007,1002,4365,537,157699,upi
TRD0101914,TXN450025,rOHIT,PATEl,male,SBIN,BSE,intraday,01/07/2024,932,4140,2665,4278,830333,upi
TRD0101924,TXN391141,IShA,kHAn,female,ONGC,NSE,options,07-02-2024,1449,2741,4139,2256,253247,debit card
TRD0101915,TXN615849,aNANyA,Iyer,female,ONGC,BSE,futures,2024/07/03,1102,3903,2315,653,469742,net banking
TRD0101921,TXN105924,rAnI,ChaTTErjEE,F,ICICIBANK,NSE,delivery,04/07/2024,3134,1055,2701,2775,649362,upi
TRD0101923,TXN244878,Manish,agaRwaL,M,INFY,NSE,intraday,07-05-2024,953,2517,2720,4848,53639,upi
TRD0101916,TXN576993,SuReSH,MIsHrA,M,NTPC,BSE,delivery,06/07/2024,4507,1122,4488,1307,151057,debit card
TRD0101915,TXN163950,AnAnya,iYer,female,TCS,NSE,intraday,07-07-2024,2264,3230,3437,1941,805610,credit card
TRD0101922,TXN604190,dEePak,tiWARi,male,TCS,NSE,intraday,08-07-2024,1887,1330,787,4096,292335,credit card
TRD0101920,TXN802758,aRJUn,mehtA,M,INFY,NSE,options,07-2024-09,2005,1862,2964,2583,76464,credit card
TRD0101923,TXN252832,mANish,agArWAl,M,HDFCBANK,NSE,futures,2024/07/10,1433,2599,4488,4618,981756,debit card
TRD0101912,TXN478726,amIT,Gupta,M,TCS,NSE,futures,2024-07-11,2715,4420,2941,1037,412752,upi
TRD0101918,TXN180729,vIKRAm,NaIDu,male,ONGC,BSE,futures,07-12-2024,2268,4811,896,789,578830,net banking
TRD0101920,TXN976904,ArjuN,Mehta,M,ICICIBANK,NSE,futures,13-07-2024,1373,4932,3871,3252,664163,debit card
TRD0101919,TXN309562,snehA,das,female,LT,BSE,options,14/07/2024,2808,4048,3840,3918,320222,debit card
TRD0101916,TXN712614,sUResH,MIsHrA,M,TCS,NSE,futures,07-15-2024,862,4210,1089,1068,339210,net banking
TRD0101912,TXN408784,amiT,GUPTa,M,ONGC,NSE,options,31-07-2024,1013,1827,4490,2341,649966,credit card
TRD0101918,TXN397629,ViKRaM,NAIDU,male,SBIN,NSE,options,2024-07-17,1093,540,2859,1100,78090,net banking
TRD0101913,TXN999194,pOOjA,Singh,F,NTPC,BSE,futures,07-18-2024,2000,2907,536,750,846858,debit card
TRD0101922,TXN835320,DEEpak,tiwArI,male,NTPC,NSE,delivery,2024-07-19,738,3250,2175,4721,139850,debit card
TRD0101910,TXN257005,rAhUL,sHARmA,male,TCS,NSE,options,2024-07-20,2298,3259,4498,4067,532867,credit card
TRD0101910,TXN128542,RAhUl,SHarmA,male,ADANIPORTS,BSE,delivery,21/07/2024,1669,3539,2356,3802,129447,debit card
TRD0101914,TXN296706,rohIt,paTEl,male,NTPC,BSE,delivery,07-22-2024,2693,3200,2046,4167,896522,credit card
TRD0101912,TXN696846,AmIt,gUpta,M,TCS,NSE,futures,23/07/2024,1065,1017,2874,5095,43705,credit card
TRD0101915,TXN908313,AnANYA,IyeR,female,NTPC,BSE,intraday,07-2024-24,4012,3648,660,1839,90205,credit card
TRD0101920,TXN117563,ARjuN,MEHTA,M,HDFCBANK,NSE,intraday,2024/07/25,3296,2636,1640,4067,368917,net banking
TRD0101912,TXN578075,AMIt,GUpTA,M,SBIN,NSE,intraday,07-26-2024,1439,2002,3213,928,268901,credit card
TRD0101919,TXN463984,snehA,daS,female,RELIANCE,BSE,options,07-27-2024,1644,1367,4878,2115,376335,upi
TRD0101913,TXN345869,POoja,sINGH,F,INFY,BSE,intraday,07-28-2024,3118,4072,586,2887,141170,credit card
TRD0101912,TXN166654,amIt,guPTa,M,RELIANCE,BSE,delivery,07-2024-01,2172,2047,2606,1623,192336,debit card
TRD0101912,TXN605783,aMiT,GUPtA,M,HDFCBANK,NSE,futures,31-07-2024,1211,1184,4553,3402,496592,credit card
TRD0101911,TXN893503,NeHa,vErmA,female,SBIN,NSE,delivery,07-2024-03,1839,518,4095,1961,697560,credit card
TRD0101924,TXN410328,iShA,kHAn,female,RELIANCE,NSE,delivery,07-04-2024,4885,3072,517,3931,195358,net banking
TRD0101921,TXN372888,rANI,cHaTTerjeE,F,ADANIPORTS,BSE,delivery,07-05-2024,1187,1333,804,3617,712652,upi
TRD0101922,TXN970398,DEEPak,Tiwari,male,NTPC,BSE,delivery,07-06-2024,3218,786,1063,601,731134,credit card
TRD0101911,TXN560530,NEha,VERMa,female,HDFCBANK,NSE,delivery,2024/07/07,3081,2913,3647,1173,156638,debit card
TRD0101913,TXN556100,poojA,SiNgH,F,SBIN,NSE,delivery,31-07-2024,3934,661,2907,3036,998937,net banking
TRD0101923,TXN264886,mANIsh,agArWAl,M,TCS,BSE,futures,31-07-2024,1327,3541,4551,3922,384360,debit card
TRD0101917,TXN772615,KAVIta,jAiN,F,RELIANCE,BSE,intraday,2024-07-10,1725,2554,2262,4631,914721,debit card
TRD0101921,TXN524116,raNI,cHaTterJEE,F,LT,NSE,intraday,11/07/2024,4055,4195,4137,4941,762115,upi
TRD0101911,TXN582372,nEHa,Verma,female,SBIN,BSE,futures,2024/07/12,4721,3197,3326,818,229425,credit card
TRD0101914,TXN727151,rOHIT,PATEl,male,NTPC,BSE,options,07-13-2024,1284,2523,4940,2736,907938,credit card
TRD0101924,TXN322673,IShA,kHAn,female,HDFCBANK,BSE,futures,31-07-2024,2746,1502,4151,3742,343590,debit card
TRD0101915,TXN702286,aNANyA,Iyer,female,NTPC,NSE,options,15-07-2024,4759,3804,976,2049,913880,net banking
TRD0101921,TXN679858,rAnI,ChaTTErjEE,F,LT,BSE,futures,2024/07/16,1571,1493,1378,1834,106378,net banking
TRD0101923,TXN487991,Manish,agaRwaL,M,INFY,NSE,intraday,07-2024-17,4378,3334,1893,1923,161212,net banking
TRD0101916,TXN220215,SuReSH,MIsHrA,M,ADANIPORTS,BSE,intraday,18/07/2024,1212,3556,4221,1984,244960,debit card
TRD0101915,TXN392988,AnAnya,iYer,female,HDFCBANK,BSE,delivery,07-19-2024,1436,4787,1260,3363,881012,credit card
TRD0101922,TXN722689,dEePak,tiWARi,male,LT,BSE,intraday,07-20-2024,3003,4617,3727,1017,794145,credit card
TRD0101920,TXN494590,aRJUn,mehtA,M,LT,NSE,futures,07-2024-21,2358,1566,3208,3983,899779,debit card
TRD0101923,TXN703346,mANish,agArWAl,M,INFY,NSE,delivery,2024-07-22,1068,4808,4048,1217,18135,net banking
TRD0101912,TXN982483,amIT,Gupta,M,ONGC,BSE,futures,2024/07/23,1250,3281,2401,3200,73703,credit card
TRD0101918,TXN395119,vIKRAm,NaIDu,male,SBIN,NSE,intraday,24/07/2024,4305,3009,3349,2004,911407,credit card
TRD0101920,TXN282179,ArjuN,Mehta,M,HDFCBANK,BSE,futures,25/07/2024,3117,2142,1758,4239,839806,upi
TRD0101919,TXN254148,snehA,das,female,NTPC,BSE,intraday,2024/07/26,2012,4840,2953,3716,168728,net banking
TRD0101916,TXN876304,sUResH,MIsHrA,M,SBIN,BSE,intraday,07-27-2024,1858,2997,1497,1661,423212,net banking
TRD0101912,TXN182774,amiT,GUPTa,M,RELIANCE,NSE,options,28-07-2024,2667,2408,4044,4495,374571,credit card
TRD0101918,TXN933334,ViKRaM,NAIDU,male,ADANIPORTS,BSE,intraday,07-2024-01,714,1855,2981,1155,516464,net banking
TRD0101913,TXN860678,pOOjA,Singh,F,TCS,BSE,delivery,07-02-2024,4562,2707,2175,4797,492189,net banking
TRD0101922,TXN287389,DEEpak,tiwArI,male,ONGC,BSE,options,07-2024-03,899,2535,1916,809,799424,credit card
TRD0101910,TXN784524,rAhUL,sHARmA,male,NTPC,BSE,futures,04-07-2024,4527,779,4566,4761,482551,net banking
TRD0101910,TXN487722,RAhUl,SHarmA,male,ADANIPORTS,BSE,options,2024-07-05,4644,3412,2107,3547,617628,net banking
TRD0101914,TXN201611,rohIt,paTEl,male,HDFCBANK,NSE,futures,06-07-2024,1679,4665,2830,2047,626314,debit card
TRD0101912,TXN167598,AmIt,gUpta,M,INFY,BSE,options,07/07/2024,3487,1695,603,4306,204996,debit card
TRD0101915,TXN219969,AnANYA,IyeR,female,ONGC,NSE,delivery,31-07-2024,3469,4776,2346,656,114102,upi
TRD0101920,TXN407189,ARjuN,MEHTA,M,INFY,BSE,delivery,2024/07/09,3062,5146,1029,1909,180417,credit card
TRD0101912,TXN579235,AMIt,GUpTA,M,SBIN,BSE,intraday,07-10-2024,4840,5192,3134,4355,204588,upi
TRD0101919,TXN254024,snehA,daS,female,RELIANCE,NSE,delivery,11/07/2024,1414,2163,4237,1670,955379,debit card
TRD0101913,TXN690293,POoja,sINGH,F,RELIANCE,NSE,delivery,07-2024-12,1550,2733,674,754,184425,upi
TRD0101912,TXN231903,amIt,guPTa,M,INFY,NSE,futures,13-07-2024,3890,2283,2265,3242,633656,credit card
TRD0101912,TXN647849,aMiT,GUPtA,M,TCS,BSE,futures,2024/07/14,4461,3205,4446,3626,765002,debit card
TRD0101911,TXN774690,NeHa,vErmA,female,INFY,BSE,options,15-07-2024,4617,4318,1803,2151,145229,debit card
TRD0101924,TXN551328,iShA,kHAn,female,SBIN,NSE,intraday,16-07-2024,4194,1761,2650,1383,731283,credit card
TRD0101921,TXN289486,rANI,cHaTTerjeE,F,SBIN,BSE,options,17-07-2024,3400,4530,2536,3371,450107,upi
TRD0101922,TXN387397,DEEPak,Tiwari,male,LT,NSE,futures,18/07/2024,3631,3140,2565,3927,306747,credit card
TRD0101911,TXN736978,NEha,VERMa,female,ONGC,NSE,futures,2024-07-19,2968,4103,4824,1074,30228,net banking
TRD0101913,TXN315556,poojA,SiNgH,F,TCS,BSE,intraday,07-20-2024,4605,2609,1823,2673,947181,debit card
TRD0101923,TXN369770,mANIsh,agArWAl,M,SBIN,NSE,delivery,31-07-2024,1806,1172,1926,923,369512,net banking
TRD0101917,TXN577026,KAVIta,jAiN,F,NTPC,BSE,delivery,07-2024-22,2667,4087,2587,938,885744,net banking
TRD0101921,TXN242387,raNI,cHaTterJEE,F,LT,BSE,delivery,2024-07-23,4012,821,3956,1136,384666,credit card
TRD0101911,TXN541278,nEHa,Verma,female,LT,NSE,intraday,24-07-2024,3995,4709,3336,3290,62642,net banking
TRD0101914,TXN953017,rOHIT,PATEl,male,TCS,NSE,intraday,25-07-2024,2203,3610,2794,4098,913378,upi
TRD0101924,TXN206023,IShA,kHAn,female,TCS,BSE,intraday,26/07/2024,2032,602,4230,4948,310386,net banking
TRD0101915,TXN868323,aNANyA,Iyer,female,HDFCBANK,NSE,futures,27/07/2024,4518,3800,1596,3135,949988,debit card
TRD0101921,TXN927318,rAnI,ChaTTErjEE,F,INFY,BSE,futures,07-2024-28,1402,2053,4619,1744,397473,credit card
TRD0101923,TXN768535,Manish,agaRwaL,M,TCS,BSE,futures,2024/07/01,3244,1743,4934,2023,818788,upi
TRD0101916,TXN909224,SuReSH,MIsHrA,M,RELIANCE,BSE,futures,2024/07/02,3946,1132,1243,3240,503547,debit card
TRD0101915,TXN176619,AnAnya,iYer,female,LT,NSE,futures,03-07-2024,1349,1694,2175,4286,947926,net banking
TRD0101922,TXN735337,dEePak,tiWARi,male,INFY,NSE,delivery,07-04-2024,2162,2307,3692,2585,678334,debit card
TRD0101920,TXN208420,aRJUn,mehtA,M,NTPC,BSE,intraday,05-07-2024,3396,4589,664,4434,639722,upi
TRD0101923,TXN148672,mANish,agArWAl,M,HDFCBANK,BSE,delivery,31-07-2024,2972,3679,3868,1273,984139,debit card
TRD0101912,TXN663098,amIT,Gupta,M,ADANIPORTS,NSE,options,07-07-2024,2018,4800,1645,2890,59623,upi
TRD0101918,TXN202418,vIKRAm,NaIDu,male,LT,BSE,intraday,2024-07-08,873,1936,3249,780,759918,upi
TRD0101920,TXN889190,ArjuN,Mehta,M,NTPC,BSE,delivery,07-09-2024,3629,2756,3560,4004,369638,credit card
TRD0101919,TXN234674,snehA,das,female,TCS,BSE,intraday,31-07-2024,4819,2244,1275,4507,653282,debit card
TRD0101916,TXN199710,sUResH,MIsHrA,M,NTPC,BSE,options,11-07-2024,711,2677,2535,3308,809746,debit card
TRD0101912,TXN506805,amiT,GUPTa,M,ADANIPORTS,NSE,delivery,12/07/2024,2694,2977,3537,3381,671097,debit card
TRD0101918,TXN599346,ViKRaM,NAIDU,male,HDFCBANK,NSE,intraday,13-07-2024,4391,4850,4878,4775,347645,upi
TRD0101913,TXN156614,pOOjA,Singh,F,SBIN,NSE,options,07-14-2024,1804,4945,1084,2883,166100,net banking
TRD0101922,TXN587101,DEEpak,tiwArI,male,ICICIBANK,BSE,delivery,2024-07-15,2425,4215,3072,4383,589401,credit card
TRD0101910,TXN311152,rAhUL,sHARmA,male,TCS,NSE,futures,2024-07-16,2354,3274,1280,4562,856006,credit card
TRD0101910,TXN382219,RAhUl,SHarmA,male,ADANIPORTS,BSE,options,07-17-2024,2655,789,3295,4132,969145,debit card
TRD0101914,TXN516073,rohIt,paTEl,male,TCS,NSE,options,07-2024-18,2512,4952,1988,4801,642264,credit card
TRD0101912,TXN453752,AmIt,gUpta,M,ONGC,NSE,intraday,31-07-2024,4627,1505,2214,2578,45534,credit card
