trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN326676,ArjuN,Mehta,M,INFY,BSE,delivery,2024-06-01,4060,865,2815,4860,752641,debit card
TRD0101919,TXN308554,snehA,das,female,ADANIPORTS,NSE,intraday,06-2024-02,2127,2362,4094,1573,498879,debit card
TRD0101916,TXN644345,sUResH,MIsHrA,M,LT,NSE,options,06-03-2024,4656,4875,2778,4337,39895,upi
TRD0101912,TXN689118,amiT,GUPTa,M,HDFCBANK,NSE,intraday,06-04-2024,4340,4332,1835,3267,646761,credit card
TRD0101918,TXN749194,ViKRaM,NAIDU,male,LT,NSE,delivery,2024/06/05,2215,2059,4778,1281,851593,debit card
TRD0101913,TXN374186,pOOjA,Singh,F,LT,BSE,delivery,06-06-2024,893,2667,3863,2941,816870,debit card
TRD0101922,TXN174084,DEEpak,tiwArI,male,TCS,BSE,futures,2024/06/07,1646,523,1254,3150,373554,net banking
TRD0101910,TXN972194,rAhUL,sHARmA,male,RELIANCE,BSE,options,31-06-2024,766,3175,4759,1389,900556,upi
TRD0101910,TXN118644,RAhUl,SHarmA,male,RELIANCE,NSE,intraday,2024-06-09,1967,5060,3479,2990,90319,debit card
TRD0101914,TXN152255,rohIt,paTEl,male,TCS,NSE,futures,10-06-2024,1334,3599,2790,1186,284454,debit card
TRD0101912,TXN970712,AmIt,gUpta,M,INFY,BSE,options,31-06-2024,1273,4062,3854,1458,451338,upi
TRD0101915,TXN596378,AnANYA,IyeR,female,SBIN,NSE,delivery,06-12-2024,4636,2040,4819,1239,101793,net banking
TRD0101920,TXN808383,ARjuN,MEHTA,M,ICICIBANK,NSE,options,31-06-2024,4509,602,4513,2099,386043,upi
TRD0101912,TXN874294,AMIt,GUpTA,M,ONGC,BSE,futures,2024-06-14,1126,2573,496,4127,594861,credit card
TRD0101919,TXN509327,snehA,daS,female,NTPC,NSE,intraday,2024-06-15,751,4011,1381,595,409309,net banking
TRD0101913,TXN719607,POoja,sINGH,F,SBIN,NSE,futures,2024/06/16,1346,751,4602,2361,932379,upi
TRD0101912,TXN470435,amIt,guPTa,M,NTPC,NSE,futures,17-06-2024,2810,4384,4764,3187,618188,net banking
TRD0101912,TXN870488,aMiT,GUPtA,M,ICICIBANK,BSE,intraday,31-06-2024,4505,3450,2567,567,699935,net banking
TRD0101911,TXN703924,NeHa,vErmA,female,INFY,NSE,options,2024-06-19,570,3917,1196,1713,436737,net banking
TRD0101924,TXN180593,iShA,kHAn,female,ADANIPORTS,NSE,intraday,06-20-2024,4487,4186,3494,3728,706030,credit card
TRD0101921,TXN939692,rANI,cHaTTerjeE,F,RELIANCE,NSE,delivery,06-21-2024,2928,3610,3497,4219,809865,debit card
TRD0101922,TXN268440,DEEPak,Tiwari,male,RELIANCE,NSE,intraday,2024-06-22,1242,5003,651,3078,265484,debit card
TRD0101911,TXN904381,NEha,VERMa,female,SBIN,NSE,delivery,23/06/2024,4725,1164,2927,747,122638,upi
TRD0101913,TXN981201,poojA,SiNgH,F,HDFCBANK,NSE,intraday,2024/06/24,4262,2786,3532,1964,431575,upi
TRD0101923,TXN706694,mANIsh,agArWAl,M,SBIN,BSE,futures,2024-06-25,1366,802,4164,1425,71789,credit card
TRD0101917,TXN120235,KAVIta,jAiN,F,LT,NSE,delivery,26-06-2024,2197,4346,3670,3502,642345,upi
TRD0101921,TXN977725,raNI,cHaTterJEE,F,ONGC,BSE,delivery,06-27-2024,3045,2486,3678,1761,943226,upi
TRD0101911,TXN760497,nEHa,Verma,female,LT,BSE,options,28/06/2024,779,4223,1351,1410,344799,debit card
TRD0101914,TXN342286,rOHIT,PATEl,male,HDFCBANK,BSE,futures,01-06-2024,4659,5076,2759,4502,669953,upi
TRD0101924,TXN978013,IShA,kHAn,female,SBIN,NSE,intraday,06-02-2024,4138,2621,3637,2212,212620,debit card
TRD0101915,TXN655836,aNANyA,Iyer,female,SBIN,NSE,futures,2024-06-03,1915,4188,631,2254,334493,debit card
TRD0101921,TXN745663,rAnI,ChaTTErjEE,F,HDFCBANK,NSE,intraday,04/06/2024,4338,3481,3741,1749,354355,net banking
TRD0101923,TXN170607,Manish,agaRwaL,M,TCS,NSE,options,31-06-2024,2411,845,3713,723,637443,net banking
TRD0101916,TXN259358,SuReSH,MIsHrA,M,RELIANCE,NSE,delivery,2024-06-06,4968,2203,1270,1559,379225,upi
TRD0101915,TXN320132,AnAnya,iYer,female,ONGC,NSE,intraday,06-07-2024,773,1231,4460,2280,779429,debit card
TRD0101922,TXN319016,dEePak,tiWARi,male,SBIN,NSE,options,31-06-2024,1404,5107,3085,3227,958876,net banking
TRD0101920,TXN515271,aRJUn,mehtA,M,NTPC,NSE,futures,06-09-2024,522,3930,4611,2858,132121,credit card
TRD0101923,TXN101137,mANish,agArWAl,M,RELIANCE,NSE,intraday,2024/06/10,2644,4633,1559,2204,265244,debit card
TRD0101912,TXN616725,amIT,Gupta,M,HDFCBANK,BSE,options,06-2024-11,3050,4263,2807,1336,297856,upi
TRD0101918,TXN369121,vIKRAm,NaIDu,male,TCS,BSE,delivery,31-06-2024,4836,2189,4294,4874,333884,net banking
TRD0101920,TXN530914,ArjuN,Mehta,M,ICICIBANK,BSE,options,2024/06/13,4666,4635,989,1848,188421,credit card
TRD0101919,TXN183815,snehA,das,female,INFY,BSE,delivery,14/06/2024,3375,5079,3224,650,518394,net banking
TRD0101916,TXN393927,sUResH,MIsHrA,M,ICICIBANK,NSE,futures,15-06-2024,1729,5024,1431,3325,42129,debit card
TRD0101912,TXN723071,amiT,GUPTa,M,RELIANCE,BSE,options,31-06-2024,1609,4503,3314,4121,783672,upi
TRD0101918,TXN834662,ViKRaM,NAIDU,male,ICICIBANK,BSE,futures,31-06-2024,4083,1510,3533,2334,958521,debit card
TRD0101913,TXN578924,pOOjA,Singh,F,NTPC,BSE,options,31-06-2024,3414,2144,2736,3179,931486,upi
TRD0101922,TXN227093,DEEpak,tiwArI,male,ICICIBANK,NSE,futures,06-19-2024,4584,3287,2241,3360,677224,upi
TRD0101910,TXN984847,rAhUL,sHARmA,male,ONGC,NSE,delivery,2024/06/20,2491,1158,4767,4499,678090,net banking
TRD0101910,TXN613458,RAhUl,SHarmA,male,SBIN,NSE,options,2024-06-21,1077,1115,548,4997,444050,credit card
TRD0101914,TXN779787,rohIt,paTEl,male,TCS,BSE,intraday,22/06/2024,4498,2479,1233,5075,405067,credit card
TRD0101912,TXN142968,AmIt,gUpta,M,ONGC,BSE,delivery,2024/06/23,2587,2834,2667,2298,33967,credit card
TRD0101915,TXN148103,AnANYA,IyeR,female,ICICIBANK,BSE,options,24/06/2024,2301,748,2026,4641,17746,net banking
