trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN843660,ArjuN,Mehta,M,HDFCBANK,BSE,options,31-03-2024,1369,2518,2029,2173,807127,debit card
TRD0101919,TXN381623,snehA,das,female,SBIN,BSE,intraday,2024/03/02,3959,4561,4866,4815,730462,upi
TRD0101916,TXN154347,sUResH,MIsHrA,M,ADANIPORTS,NSE,delivery,31-03-2024,3822,1592,4056,3421,348232,credit card
TRD0101912,TXN845575,amiT,GUPTa,M,LT,BSE,options,04-03-2024,2791,3986,617,4971,133189,credit card
TRD0101918,TXN779054,ViKRaM,NAIDU,male,ADANIPORTS,BSE,delivery,31-03-2024,1590,3843,4860,836,525217,debit card
TRD0101913,TXN957735,pOOjA,Singh,F,NTPC,NSE,delivery,31-03-2024,743,1594,3218,2976,158348,debit card
TRD0101922,TXN625218,DEEpak,tiwArI,male,ADANIPORTS,NSE,delivery,2024/03/07,4419,3210,3631,5091,915598,debit card
TRD0101910,TXN404971,rAhUL,sHARmA,male,INFY,NSE,futures,31-03-2024,4118,4177,4346,910,226475,credit card
TRD0101910,TXN854593,RAhUl,SHarmA,male,RELIANCE,BSE,options,03-2024-09,2010,2460,4338,1209,774208,debit card
TRD0101914,TXN977694,rohIt,paTEl,male,ICICIBANK,NSE,intraday,31-03-2024,1046,2861,1893,852,632349,credit card
TRD0101912,TXN492107,AmIt,gUpta,M,ONGC,NSE,options,2024-03-11,2418,816,3534,2162,141190,net banking
TRD0101915,TXN342539,AnANYA,IyeR,female,HDFCBANK,BSE,options,31-03-2024,2719,523,1305,3181,203493,debit card
TRD0101920,TXN287171,ARjuN,MEHTA,M,LT,BSE,delivery,13/03/2024,4148,5054,3089,3102,71272,upi
TRD0101912,TXN209307,AMIt,GUpTA,M,HDFCBANK,NSE,delivery,31-03-2024,4017,637,574,2529,122747,debit card
TRD0101919,TXN128432,snehA,daS,female,NTPC,NSE,delivery,03-15-2024,3885,765,4665,2512,367525,upi
TRD0101913,TXN857128,POoja,sINGH,F,NTPC,BSE,options,16-03-2024,3728,2834,2378,887,208195,credit card
TRD0101912,TXN909070,amIt,guPTa,M,RELIANCE,BSE,options,2024/03/17,4770,3917,4129,3737,847363,upi
TRD0101912,TXN334955,aMiT,GUPtA,M,NTPC,NSE,options,2024/03/18,4179,2752,2406,1307,710472,net banking
TRD0101911,TXN717516,NeHa,vErmA,female,HDFCBANK,BSE,options,2024/03/19,3417,3408,2728,1682,210128,upi
