trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN611861,ArjuN,Mehta,M,SBIN,BSE,delivery,05-01-2024,2108,1138,2747,4975,441278,credit card
TRD0101919,TXN562994,snehA,das,female,TCS,BSE,delivery,05-2024-02,1155,2724,3688,1447,646380,net banking
TRD0101916,TXN481747,sUResH,MIsHrA,M,ADANIPORTS,NSE,intraday,05-03-2024,1224,2415,494,4979,268016,net banking
TRD0101912,TXN981309,amiT,GUPTa,M,NTPC,NSE,options,2024-05-04,2085,4926,607,657,589936,debit card
TRD0101918,TXN473391,ViKRaM,NAIDU,male,ADANIPORTS,BSE,futures,05-2024-05,4674,1167,2202,1320,888655,net banking
TRD0101913,TXN587522,pOOjA,Singh,F,ONGC,NSE,options,05-2024-06,4098,2291,1522,3093,761695,upi
TRD0101922,TXN949283,DEEpak,tiwArI,male,ADANIPORTS,NSE,futures,31-05-2024,951,2045,457,1381,740778,net banking
TRD0101910,TXN322986,rAhUL,sHARmA,male,ONGC,NSE,options,05-08-2024,3526,4710,704,3997,904552,debit card
TRD0101910,TXN329792,RAhUl,SHarmA,male,SBIN,NSE,intraday,09-05-2024,4449,1017,4953,1026,81460,upi
TRD0101914,TXN573428,rohIt,paTEl,male,RELIANCE,BSE,futures,2024/05/10,3438,4640,3096,5046,970003,credit card
TRD0101912,TXN595947,AmIt,gUpta,M,SBIN,BSE,intraday,05-11-2024,1058,4785,2304,3870,913258,credit card
TRD0101915,TXN466095,AnANYA,IyeR,female,INFY,BSE,futures,05-2024-12,1896,1377,1916,1326,551191,credit card
TRD0101920,TXN338530,ARjuN,MEHTA,M,HDFCBANK,BSE,options,2024/05/13,1890,4281,3351,3116,155755,credit card
TRD0101912,TXN230348,AMIt,GUpTA,M,HDFCBANK,NSE,options,14-05-2024,4248,1131,3047,4608,36839,net banking
TRD0101919,TXN426334,snehA,daS,female,ADANIPORTS,BSE,delivery,05-15-2024,2268,4883,4327,1322,531759,credit card
TRD0101913,TXN319058,POoja,sINGH,F,NTPC,NSE,delivery,16/05/2024,1059,785,4967,4885,886683,upi
TRD0101912,TXN276061,amIt,guPTa,M,ADANIPORTS,BSE,delivery,05-17-2024,2834,1910,3950,4217,579916,upi
TRD0101912,TXN475358,aMiT,GUPtA,M,INFY,NSE,delivery,2024-05-18,1174,2950,3215,3834,842766,upi
TRD0101911,TXN966350,NeHa,vErmA,female,LT,NSE,futures,2024/05/19,4820,2949,834,2563,131293,credit card
TRD0101924,TXN718348,iShA,kHAn,female,ICICIBANK,NSE,futures,2024/05/20,1693,1255,809,3365,343335,debit card
TRD0101921,TXN619537,rANI,cHaTTerjeE,F,ADANIPORTS,NSE,delivery,05-21-2024,1425,1554,2047,1172,931315,debit card
TRD0101922,TXN604733,DEEPak,Tiwari,male,ADANIPORTS,BSE,intraday,05-22-2024,4127,1405,1229,1945,921719,net banking
TRD0101911,TXN167194,NEha,VERMa,female,TCS,NSE,intraday,2024/05/23,1640,3770,4785,3693,854852,net banking
TRD0101913,TXN432242,poojA,SiNgH,F,NTPC,BSE,intraday,2024-05-24,2518,2432,1278,3758,827303,credit card
TRD0101923,TXN582404,mANIsh,agArWAl,M,ONGC,NSE,intraday,05-25-2024,4469,2719,1649,3012,910194,net banking
TRD0101917,TXN811319,KAVIta,jAiN,F,INFY,BSE,delivery,05-2024-26,2015,1994,951,1680,435730,debit card
TRD0101921,TXN197594,raNI,cHaTterJEE,F,HDFCBANK,BSE,futures,27-05-2024,4300,1695,2499,2116,978757,debit card
TRD0101911,TXN441079,nEHa,Verma,female,ADANIPORTS,NSE,options,05-2024-28,2614,762,1667,841,181952,net banking
TRD0101914,TXN589761,rOHIT,PATEl,male,ADANIPORTS,BSE,options,2024-05-01,2425,1459,802,1494,22540,upi
TRD0101924,TXN383660,IShA,kHAn,female,INFY,NSE,options,05-02-2024,2658,4599,635,2280,584976,upi
TRD0101915,TXN356081,aNANyA,Iyer,female,RELIANCE,BSE,delivery,31-05-2024,615,4899,1724,2830,453388,debit card
TRD0101921,TXN978831,rAnI,ChaTTErjEE,F,INFY,BSE,delivery,05-2024-04,4203,882,655,2832,952897,upi
TRD0101923,TXN746983,Manish,agaRwaL,M,SBIN,BSE,futures,2024-05-05,4195,2762,4095,3641,285424,debit card
TRD0101916,TXN529092,SuReSH,MIsHrA,M,SBIN,NSE,futures,2024/05/06,804,1486,1863,4267,258839,upi
TRD0101915,TXN504938,AnAnya,iYer,female,LT,NSE,delivery,07/05/2024,1341,1636,726,1056,415434,net banking
TRD0101922,TXN345794,dEePak,tiWARi,male,TCS,NSE,options,2024-05-08,2821,3068,2138,2839,727047,net banking
TRD0101920,TXN380435,aRJUn,mehtA,M,RELIANCE,BSE,delivery,05-2024-09,3950,3611,2432,4209,784389,debit card
TRD0101923,TXN518712,mANish,agArWAl,M,RELIANCE,BSE,intraday,10-05-2024,1425,669,3802,4154,238867,credit card
TRD0101912,TXN951082,amIT,Gupta,M,NTPC,NSE,delivery,11-05-2024,4218,4645,2236,4935,785247,debit card
TRD0101918,TXN647658,vIKRAm,NaIDu,male,NTPC,NSE,intraday,2024-05-12,715,891,1942,3025,746409,upi
TRD0101920,TXN195778,ArjuN,Mehta,M,ADANIPORTS,BSE,intraday,31-05-2024,2963,3672,2555,1208,858028,net banking
TRD0101919,TXN480437,snehA,das,female,RELIANCE,BSE,delivery,2024/05/14,3964,3871,3496,4259,369044,debit card
TRD0101916,TXN701417,sUResH,MIsHrA,M,TCS,BSE,delivery,2024/05/15,4887,4146,4738,3758,100902,net banking
TRD0101912,TXN451999,amiT,GUPTa,M,LT,BSE,delivery,2024/05/16,1638,2057,4524,933,688490,net banking
TRD0101918,TXN826991,ViKRaM,NAIDU,male,SBIN,NSE,intraday,2024/05/17,4133,2010,2617,2743,440641,net banking
TRD0101913,TXN644746,pOOjA,Singh,F,RELIANCE,NSE,options,31-05-2024,1447,1568,3253,4996,868624,debit card
TRD0101922,TXN455034,DEEpak,tiwArI,male,ONGC,BSE,futures,05-19-2024,3551,601,4390,3579,789241,upi
TRD0101910,TXN754187,rAhUL,sHARmA,male,RELIANCE,BSE,futures,20-05-2024,1497,3304,2406,3378,523091,debit card
TRD0101910,TXN287462,RAhUl,SHarmA,male,RELIANCE,BSE,intraday,2024-05-21,2529,3733,3397,5010,869296,net banking
TRD0101914,TXN902265,rohIt,paTEl,male,INFY,NSE,options,05-2024-22,3022,1232,3191,4482,909090,credit card
TRD0101912,TXN771299,AmIt,gUpta,M,SBIN,BSE,delivery,05-23-2024,1178,3464,2615,4061,150959,credit card
