trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN679471,ArjuN,Mehta,M,LT,BSE,delivery,11-2024-01,2734,3519,1661,2203,931169,upi
TRD0101919,TXN207875,snehA,das,female,INFY,NSE,intraday,11-02-2024,1283,4314,3507,4777,646846,credit card
TRD0101916,TXN255893,sUResH,MIsHrA,M,INFY,NSE,delivery,03/11/2024,582,4852,3192,3854,628394,debit card
TRD0101912,TXN513290,amiT,GUPTa,M,RELIANCE,BSE,options,04-11-2024,2345,2933,1736,1849,839598,net banking
TRD0101918,TXN972017,ViKRaM,NAIDU,male,NTPC,BSE,intraday,05/11/2024,969,2411,707,4279,953293,net banking
TRD0101913,TXN907252,pOOjA,Singh,F,ICICIBANK,NSE,delivery,2024/11/06,1084,2447,3199,3619,846828,net banking
TRD0101922,TXN768768,DEEpak,tiwArI,male,ICICIBANK,NSE,delivery,07-11-2024,4108,956,2344,1413,854459,debit card
TRD0101910,TXN783149,rAhUL,sHARmA,male,TCS,BSE,options,11-08-2024,2974,1652,2284,4601,808293,debit card
TRD0101910,TXN939599,RAhUl,SHarmA,male,ADANIPORTS,NSE,futures,11-09-2024,4590,3422,802,3824,903942,net banking
TRD0101914,TXN744549,rohIt,paTEl,male,INFY,NSE,delivery,31-11-2024,3766,3773,4524,4211,464446,credit card
TRD0101912,TXN178799,AmIt,gUpta,M,INFY,NSE,intraday,11/11/2024,1364,4756,4484,3057,570114,upi
TRD0101915,TXN857180,AnANYA,IyeR,female,SBIN,BSE,options,11-12-2024,2658,1551,1614,4325,265681,upi
TRD0101920,TXN128385,ARjuN,MEHTA,M,RELIANCE,NSE,delivery,2024-11-13,4779,5043,1849,2652,524832,net banking
TRD0101912,TXN596716,AMIt,GUpTA,M,NTPC,BSE,intraday,11-2024-14,4610,2512,3726,2878,985583,net banking
TRD0101919,TXN891792,snehA,daS,female,LT,NSE,futures,2024-11-15,4980,2380,2092,3236,844532,credit card
TRD0101913,TXN553216,POoja,sINGH,F,ADANIPORTS,BSE,futures,16-11-2024,3006,3955,4450,1472,330952,upi
TRD0101912,TXN617986,amIt,guPTa,M,INFY,NSE,delivery,31-11-2024,3419,4744,1196,2860,321533,debit card
TRD0101912,TXN692399,aMiT,GUPtA,M,NTPC,BSE,futures,2024/11/18,1452,2061,2365,4434,536517,credit card
TRD0101911,TXN160341,NeHa,vErmA,female,HDFCBANK,BSE,intraday,11-2024-19,1874,2718,866,977,720223,debit card
TRD0101924,TXN120675,iShA,kHAn,female,ONGC,BSE,delivery,20-11-2024,4733,1689,3307,3120,277956,net banking
TRD0101921,TXN778009,rANI,cHaTTerjeE,F,NTPC,NSE,delivery,31-11-2024,3523,2584,2567,825,18296,net banking
TRD0101922,TXN972228,DEEPak,Tiwari,male,TCS,BSE,options,22-11-2024,3427,2658,2488,3121,533962,net banking
TRD0101911,TXN233778,NEha,VERMa,female,SBIN,BSE,futures,23/11/2024,2166,3537,2042,2816,373814,debit card
TRD0101913,TXN592010,poojA,SiNgH,F,RELIANCE,NSE,delivery,31-11-2024,2895,767,2920,731,454560,net banking
TRD0101923,TXN572791,mANIsh,agArWAl,M,HDFCBANK,NSE,delivery,31-11-2024,2551,4391,499,3098,190590,net banking
TRD0101917,TXN617485,KAVIta,jAiN,F,LT,NSE,delivery,31-11-2024,4870,4354,2002,2807,790090,net banking
TRD0101921,TXN679426,raNI,cHaTterJEE,F,SBIN,NSE,options,2024-11-27,2006,806,1763,2895,784390,net banking
TRD0101911,TXN635791,nEHa,Verma,female,INFY,NSE,options,28-11-2024,2237,2465,3110,4988,687195,net banking
TRD0101914,TXN116175,rOHIT,PATEl,male,ICICIBANK,NSE,futures,01-11-2024,4695,1468,4670,2337,738793,credit card
TRD0101924,TXN494637,IShA,kHAn,female,TCS,NSE,options,11-02-2024,1003,1095,481,4530,839565,debit card
TRD0101915,TXN573757,aNANyA,Iyer,female,HDFCBANK,BSE,delivery,11-03-2024,4798,1685,3586,4975,294482,net banking
TRD0101921,TXN771067,rAnI,ChaTTErjEE,F,ICICIBANK,NSE,intraday,2024/11/04,1516,2191,3837,4259,770482,credit card
TRD0101923,TXN658007,Manish,agaRwaL,M,NTPC,BSE,intraday,31-11-2024,3912,5136,3133,2135,191153,debit card
TRD0101916,TXN255309,SuReSH,MIsHrA,M,ADANIPORTS,NSE,intraday,31-11-2024,3101,2135,4891,2123,236047,net banking
