trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN735302,ArjuN,Mehta,M,ONGC,BSE,options,01-10-2024,2327,1141,927,1828,231512,debit card
TRD0101919,TXN970246,snehA,das,female,LT,BSE,options,31-10-2024,741,905,1607,1734,742248,upi
TRD0101916,TXN195379,sUResH,MIsHrA,M,ICICIBANK,BSE,options,2024/10/03,1281,501,739,1094,271518,net banking
TRD0101912,TXN887462,amiT,GUPTa,M,NTPC,BSE,options,2024-10-04,4709,753,1265,2415,433246,upi
TRD0101918,TXN672572,ViKRaM,NAIDU,male,ICICIBANK,NSE,intraday,2024-10-05,3438,1901,4961,3945,825787,upi
TRD0101913,TXN966237,pOOjA,Singh,F,ONGC,NSE,futures,2024/10/06,2143,3631,1148,1837,351385,net banking
TRD0101922,TXN250585,DEEpak,tiwArI,male,INFY,BSE,intraday,07-10-2024,4845,4422,762,589,940361,credit card
TRD0101910,TXN629813,rAhUL,sHARmA,male,SBIN,NSE,options,2024/10/08,2773,1241,1016,3551,422397,upi
TRD0101910,TXN933934,RAhUl,SHarmA,male,INFY,BSE,futures,2024-10-09,3159,4636,4428,4788,188038,upi
TRD0101914,TXN363665,rohIt,paTEl,male,HDFCBANK,NSE,intraday,10-2024-10,2403,3928,4237,3526,643157,net banking
TRD0101912,TXN934064,AmIt,gUpta,M,ADANIPORTS,NSE,delivery,31-10-2024,1525,1940,539,1152,697800,debit card
TRD0101915,TXN404075,AnANYA,IyeR,female,LT,BSE,intraday,10-12-2024,1861,1740,2188,815,934289,net banking
TRD0101920,TXN685975,ARjuN,MEHTA,M,TCS,NSE,intraday,2024-10-13,890,1497,4097,2504,659043,net banking
TRD0101912,TXN455083,AMIt,GUpTA,M,TCS,NSE,options,2024/10/14,1049,2956,3836,1401,812461,debit card
TRD0101919,TXN948705,snehA,daS,female,ONGC,BSE,options,2024/10/15,1696,632,2450,3235,203278,upi
TRD0101913,TXN847586,POoja,sINGH,F,RELIANCE,BSE,options,31-10-2024,1271,4918,2334,3992,439182,debit card
TRD0101912,TXN786579,amIt,guPTa,M,LT,BSE,options,31-10-2024,4825,3805,620,2829,141983,net banking
TRD0101912,TXN791670,aMiT,GUPtA,M,HDFCBANK,NSE,delivery,10-18-2024,570,4506,1283,2292,436214,upi
TRD0101911,TXN609839,NeHa,vErmA,female,INFY,BSE,intraday,10-19-2024,3922,2484,4417,1163,55897,credit card
TRD0101924,TXN337250,iShA,kHAn,female,ONGC,BSE,intraday,20-10-2024,3811,864,1434,2215,130987,net banking
TRD0101921,TXN980157,rANI,cHaTTerjeE,F,INFY,BSE,options,2024/10/21,1832,2223,4406,3921,943038,credit card
TRD0101922,TXN939842,DEEPak,Tiwari,male,TCS,BSE,futures,10-22-2024,3645,2499,3540,1563,452425,upi
TRD0101911,TXN837322,NEha,VERMa,female,ONGC,BSE,options,23/10/2024,3777,639,2039,4926,315266,credit card
TRD0101913,TXN689904,poojA,SiNgH,F,ONGC,BSE,options,24/10/2024,1078,5180,798,1522,839709,upi
TRD0101923,TXN224062,mANIsh,agArWAl,M,ADANIPORTS,BSE,futures,10-25-2024,4001,2870,1894,3747,91711,debit card
TRD0101917,TXN404302,KAVIta,jAiN,F,HDFCBANK,NSE,futures,10-2024-26,4810,685,1936,686,514986,upi
TRD0101921,TXN523219,raNI,cHaTterJEE,F,ONGC,NSE,intraday,27-10-2024,1245,3612,4229,2580,432837,credit card
TRD0101911,TXN975280,nEHa,Verma,female,ICICIBANK,BSE,delivery,2024-10-28,4529,3649,3588,3464,740091,net banking
TRD0101914,TXN529190,rOHIT,PATEl,male,ADANIPORTS,NSE,futures,10-01-2024,1228,5048,2145,3653,320489,credit card
TRD0101924,TXN414368,IShA,kHAn,female,ONGC,NSE,intraday,02-10-2024,2258,880,1971,4872,23026,upi
TRD0101915,TXN785804,aNANyA,Iyer,female,ICICIBANK,BSE,options,2024/10/03,541,4908,2576,2349,360115,net banking
TRD0101921,TXN131819,rAnI,ChaTTErjEE,F,INFY,BSE,options,2024-10-04,3108,2774,3247,1423,234638,debit card
TRD0101923,TXN846900,Manish,agaRwaL,M,RELIANCE,BSE,options,05/10/2024,3601,4487,4705,1352,372025,credit card
TRD0101916,TXN961763,SuReSH,MIsHrA,M,ICICIBANK,NSE,delivery,06-10-2024,1826,2219,3825,975,276491,debit card
TRD0101915,TXN230760,AnAnya,iYer,female,TCS,BSE,intraday,2024-10-07,3772,2040,4921,1126,854308,debit card
TRD0101922,TXN239316,dEePak,tiWARi,male,SBIN,BSE,intraday,10-2024-08,3657,3841,1300,4706,298493,credit card
TRD0101920,TXN845713,aRJUn,mehtA,M,ONGC,BSE,delivery,10-2024-09,3491,2352,1931,744,872883,net banking
TRD0101923,TXN684229,mANish,agArWAl,M,TCS,BSE,intraday,2024/10/10,1461,1837,4061,4804,716649,credit card
TRD0101912,TXN537230,amIT,Gupta,M,RELIANCE,NSE,futures,2024/10/11,2239,2841,2505,2809,153639,credit card
TRD0101918,TXN300520,vIKRAm,NaIDu,male,NTPC,NSE,futures,31-10-2024,1344,5069,4183,1673,640083,upi
TRD0101920,TXN574028,ArjuN,Mehta,M,SBIN,NSE,futures,13-10-2024,1490,3749,1468,2857,328474,debit card
TRD0101919,TXN931648,snehA,das,female,TCS,BSE,futures,10-2024-14,2551,3758,3546,644,527289,debit card
TRD0101916,TXN709319,sUResH,MIsHrA,M,SBIN,NSE,delivery,15/10/2024,4598,1079,2654,3337,355362,debit card
TRD0101912,TXN903078,amiT,GUPTa,M,HDFCBANK,NSE,delivery,10-2024-16,671,3094,1742,659,54227,upi
TRD0101918,TXN157578,ViKRaM,NAIDU,male,TCS,BSE,delivery,10-17-2024,3303,1790,3434,519,804937,debit card
TRD0101913,TXN556637,pOOjA,Singh,F,RELIANCE,BSE,futures,2024-10-18,2866,2264,589,1503,441009,debit card
TRD0101922,TXN818641,DEEpak,tiwArI,male,SBIN,BSE,intraday,10-19-2024,3523,1338,3038,3316,710519,credit card
TRD0101910,TXN997663,rAhUL,sHARmA,male,INFY,NSE,options,20-10-2024,4080,2324,1331,2259,424163,credit card
TRD0101910,TXN469675,RAhUl,SHarmA,male,ADANIPORTS,NSE,intraday,10-21-2024,2012,1223,2719,3277,419271,net banking
TRD0101914,TXN162826,rohIt,paTEl,male,ADANIPORTS,NSE,options,10-2024-22,2020,781,3508,4170,964301,upi
TRD0101912,TXN784306,AmIt,gUpta,M,LT,BSE,options,31-10-2024,958,1638,2142,1478,312968,net banking
TRD0101915,TXN966295,AnANYA,IyeR,female,LT,BSE,options,31-10-2024,4040,4455,1767,4913,594110,net banking
TRD0101920,TXN356407,ARjuN,MEHTA,M,TCS,NSE,options,10-25-2024,2321,539,3418,3143,669174,upi
TRD0101912,TXN173667,AMIt,GUpTA,M,TCS,BSE,delivery,10-2024-26,2219,2552,1126,1628,939334,credit card
TRD0101919,TXN333379,snehA,daS,female,TCS,NSE,futures,27-10-2024,4603,1255,1258,2466,485484,credit card
TRD0101913,TXN785830,POoja,sINGH,F,ICICIBANK,NSE,delivery,10-28-2024,694,4839,2167,3893,711189,upi
TRD0101912,TXN166811,amIt,guPTa,M,RELIANCE,BSE,options,10-01-2024,4745,1481,2188,4758,265834,net banking
TRD0101912,TXN650982,aMiT,GUPtA,M,SBIN,NSE,intraday,02/10/2024,2994,3993,3145,3041,296589,debit card
TRD0101911,TXN118928,NeHa,vErmA,female,HDFCBANK,BSE,intraday,31-10-2024,2969,1951,1822,4826,183724,credit card
TRD0101924,TXN840980,iShA,kHAn,female,INFY,BSE,options,10-04-2024,2807,1069,4358,2246,918783,credit card
TRD0101921,TXN873906,rANI,cHaTTerjeE,F,ICICIBANK,NSE,futures,05/10/2024,1466,5155,2958,939,670560,upi
TRD0101922,TXN285732,DEEPak,Tiwari,male,SBIN,NSE,futures,31-10-2024,4325,4589,2370,1687,780639,net banking
TRD0101911,TXN316533,NEha,VERMa,female,RELIANCE,BSE,options,2024/10/07,1564,2446,2641,2009,59060,debit card
TRD0101913,TXN752268,poojA,SiNgH,F,NTPC,BSE,intraday,2024/10/08,1826,540,2375,2588,282475,net banking
TRD0101923,TXN898575,mANIsh,agArWAl,M,RELIANCE,NSE,intraday,2024-10-09,1278,885,1872,1267,553186,credit card
TRD0101917,TXN872740,KAVIta,jAiN,F,ICICIBANK,BSE,delivery,10-10-2024,1077,1872,4482,656,119002,upi
TRD0101921,TXN256307,raNI,cHaTterJEE,F,RELIANCE,NSE,futures,2024/10/11,1754,3540,3657,4047,596491,credit card
TRD0101911,TXN352983,nEHa,Verma,female,ADANIPORTS,BSE,futures,2024-10-12,1482,4903,4471,4467,761865,upi
TRD0101914,TXN598576,rOHIT,PATEl,male,ICICIBANK,BSE,intraday,13/10/2024,2959,5053,2614,2672,26468,debit card
TRD0101924,TXN390023,IShA,kHAn,female,TCS,BSE,options,10-2024-14,1396,1347,3418,748,294582,upi
TRD0101915,TXN269353,aNANyA,Iyer,female,TCS,BSE,options,10-15-2024,4888,610,4337,1722,304184,debit card
