trade_id,transaction_id,first_name,surname,gender,stock_name,exchange,trade_type,trade_date,open_price,high_price,low_price,close_price,trade_volume,payment_method
TRD0101920,TXN264625,ArjuN,Mehta,M,RELIANCE,NSE,options,2024-09-01,1028,2222,4340,3717,928344,debit card
TRD0101919,TXN364763,snehA,das,female,TCS,BSE,futures,02/09/2024,2537,570,3647,1458,768037,credit card
TRD0101916,TXN492344,sUResH,MIsHrA,M,ONGC,BSE,intraday,2024-09-03,1237,3878,3864,2982,741884,net banking
TRD0101912,TXN402695,amiT,GUPTa,M,SBIN,BSE,intraday,2024-09-04,3431,4820,3111,4036,367071,upi
TRD0101918,TXN436727,ViKRaM,NAIDU,male,ADANIPORTS,BSE,delivery,2024-09-05,2372,882,3843,4957,687655,net banking
TRD0101913,TXN372483,pOOjA,Singh,F,ICICIBANK,BSE,options,09-2024-06,2740,4669,3375,2519,846793,net banking
TRD0101922,TXN681227,DEEpak,tiwArI,male,ONGC,BSE,options,2024/09/07,1392,2343,3627,4857,122820,debit card
TRD0101910,TXN613532,rAhUL,sHARmA,male,RELIANCE,BSE,delivery,2024-09-08,3354,1174,4223,2393,634071,debit card
TRD0101910,TXN692813,RAhUl,SHarmA,male,ADANIPORTS,BSE,futures,2024-09-09,1512,901,4986,1601,513307,net banking
TRD0101914,TXN553380,rohIt,paTEl,male,ADANIPORTS,BSE,intraday,10/09/2024,1856,4022,4192,4729,328496,debit card
TRD0101912,TXN372852,AmIt,gUpta,M,RELIANCE,NSE,delivery,11/09/2024,2221,2537,3054,583,716182,net banking
TRD0101915,TXN768558,AnANYA,IyeR,female,TCS,BSE,options,31-09-2024,3660,4387,3818,1302,100810,upi
TRD0101920,TXN505909,ARjuN,MEHTA,M,ONGC,BSE,intraday,2024/09/13,1531,3486,2047,598,543671,credit card
TRD0101912,TXN309611,AMIt,GUpTA,M,TCS,NSE,options,14/09/2024,4557,652,2013,2835,15458,credit card
TRD0101919,TXN110716,snehA,daS,female,SBIN,NSE,options,09-2024-15,787,2262,4139,2963,22521,net banking
TRD0101913,TXN671910,POoja,sINGH,F,LT,NSE,intraday,16/09/2024,3328,4073,4061,3747,420731,net banking
TRD0101912,TXN501086,amIt,guPTa,M,TCS,BSE,delivery,17-09-2024,2298,2905,4548,2211,509108,net banking
TRD0101912,TXN669761,aMiT,GUPtA,M,SBIN,NSE,intraday,09-2024-18,2207,2143,4325,3200,888544,credit card
TRD0101911,TXN552014,NeHa,vErmA,female,RELIANCE,NSE,delivery,31-09-2024,2439,4673,2489,4782,430974,net banking
TRD0101924,TXN260259,iShA,kHAn,female,NTPC,BSE,futures,2024-09-20,4757,4146,1061,4951,780326,debit card
TRD0101921,TXN498033,rANI,cHaTTerjeE,F,INFY,NSE,futures,2024-09-21,3114,1681,4156,2417,334558,credit card
TRD0101922,TXN791860,DEEPak,Tiwari,male,LT,BSE,options,2024-09-22,4662,4772,1465,667,389953,credit card
TRD0101911,TXN793935,NEha,VERMa,female,ONGC,NSE,options,31-09-2024,1544,3287,4952,509,656355,credit card
TRD0101913,TXN241505,poojA,SiNgH,F,TCS,NSE,futures,24-09-2024,2487,3202,3161,2284,39838,upi
TRD0101923,TXN780851,mANIsh,agArWAl,M,LT,BSE,options,2024-09-25,4556,2287,1769,1731,824300,debit card
TRD0101917,TXN693748,KAVIta,jAiN,F,ADANIPORTS,BSE,delivery,2024/09/26,3566,2180,4570,1357,664414,upi
TRD0101921,TXN374695,raNI,cHaTterJEE,F,HDFCBANK,BSE,delivery,09-27-2024,4397,1533,2293,2015,503928,net banking
TRD0101911,TXN765623,nEHa,Verma,female,NTPC,NSE,intraday,28-09-2024,1428,2927,3249,1104,166365,debit card
TRD0101914,TXN891947,rOHIT,PATEl,male,RELIANCE,BSE,futures,01/09/2024,2092,3049,2368,983,908883,net banking
TRD0101924,TXN917311,IShA,kHAn,female,ADANIPORTS,NSE,options,2024/09/02,1165,3664,4535,3156,914402,net banking
TRD0101915,TXN568702,aNANyA,Iyer,female,SBIN,BSE,options,2024/09/03,1756,4538,1066,2273,657410,credit card
TRD0101921,TXN618881,rAnI,ChaTTErjEE,F,RELIANCE,NSE,options,09-2024-04,1544,2114,4395,1674,411459,credit card
TRD0101923,TXN284397,Manish,agaRwaL,M,RELIANCE,BSE,intraday,05-09-2024,3875,2095,3460,4390,412583,net banking
TRD0101916,TXN440507,SuReSH,MIsHrA,M,ICICIBANK,NSE,futures,2024-09-06,3525,2573,3636,647,298442,debit card
TRD0101915,TXN743615,AnAnya,iYer,female,LT,NSE,futures,09-07-2024,3483,2705,605,3029,938976,credit card
TRD0101922,TXN568251,dEePak,tiWARi,male,NTPC,BSE,options,08/09/2024,2008,1905,2534,1996,881742,credit card
TRD0101920,TXN977549,aRJUn,mehtA,M,ICICIBANK,NSE,futures,31-09-2024,1200,3194,1215,3107,148323,credit card
TRD0101923,TXN967092,mANish,agArWAl,M,INFY,NSE,delivery,31-09-2024,749,3749,988,2663,686545,net banking
TRD0101912,TXN536171,amIT,Gupta,M,INFY,NSE,intraday,31-09-2024,2022,3958,3561,1145,161935,credit card
TRD0101918,TXN692774,vIKRAm,NaIDu,male,ONGC,BSE,delivery,2024/09/12,3152,1298,2808,2925,43723,debit card
TRD0101920,TXN130448,ArjuN,Mehta,M,RELIANCE,NSE,delivery,09-13-2024,2064,713,4525,3592,844068,upi
TRD0101919,TXN305145,snehA,das,female,TCS,NSE,futures,2024/09/14,3962,2228,3836,2934,706310,upi
TRD0101916,TXN896859,sUResH,MIsHrA,M,RELIANCE,NSE,intraday,2024-09-15,1342,697,2015,3575,374009,upi
TRD0101912,TXN560545,amiT,GUPTa,M,TCS,NSE,delivery,2024/09/16,2405,3202,3817,4158,598818,upi
TRD0101918,TXN395633,ViKRaM,NAIDU,male,ICICIBANK,BSE,intraday,2024-09-17,2760,3068,985,2353,558486,debit card
TRD0101913,TXN232904,pOOjA,Singh,F,INFY,BSE,options,09-2024-18,4192,5088,4935,2989,313078,upi
TRD0101922,TXN811830,DEEpak,tiwArI,male,NTPC,BSE,delivery,19/09/2024,2653,5140,3727,2905,607836,upi
TRD0101910,TXN746816,rAhUL,sHARmA,male,INFY,BSE,futures,2024/09/20,754,1031,4652,4915,335614,credit card
TRD0101910,TXN920802,RAhUl,SHarmA,male,SBIN,NSE,delivery,21-09-2024,3652,3885,4856,1677,24646,net banking
TRD0101914,TXN664737,rohIt,paTEl,male,TCS,NSE,delivery,09-2024-22,587,5178,2592,2228,606197,net banking
TRD0101912,TXN505182,AmIt,gUpta,M,ADANIPORTS,BSE,options,09-23-2024,4056,2583,3204,4334,959564,credit card
